"","start","lon.s","lat.s","end","lon.e","lat.e","paths"
"262",320,-74.005549,40.717571,463,-74.00443172,40.74206539,16.65
"263",3016,-73.9643383026123,40.7710518564153,309,-74.013012,40.7149787,37.5166666666667
"264",392,-73.987167,40.695065,2012,-73.976806,40.739445,23.1666666666667
"265",414,-73.98765762,40.70281858,150,-73.98085795,40.7208736,18.9666666666667
"266",3236,-73.9937996864319,40.7589848139963,427,-74.013942,40.701907,24.7
"267",2000,-73.98940236,40.70255088,237,-73.98672378,40.73047309,20.2166666666667
"268",3141,-73.95818491,40.76500525,385,-73.96603308,40.75797322,6.81666666666667
"269",263,-73.996375,40.71729,3102,-73.9504154,40.72179134,21.3333333333333
"270",244,-73.96536851,40.69196035,284,-74.0026376103,40.7390169121,34.9833333333333
"271",341,-73.97628939,40.71782143,319,-74.009447,40.711066,15.2
"272",3086,-73.944507,40.715143,3140,-73.9535166,40.77140426,33.6833333333333
"273",247,-74.00483091,40.73535398,250,-73.99565293,40.72456089,8.7
"274",285,-73.99074142,40.73454567,232,-73.99014892,40.69597683,19.8
"275",300,-73.990214,40.728145,3125,-73.94977234,40.74708586,31.9333333333333
"276",116,-74.00149746,40.74177603,3164,-73.97898475,40.7770575,18.5166666666667
"277",223,-73.99994661,40.73781509,263,-73.996375,40.71729,16.5166666666667
"278",367,-73.97069431,40.75828065,116,-74.00149746,40.74177603,20.4166666666667
"279",453,-73.99915362,40.74475148,3151,-73.94989233,40.7728384,27.8
"280",395,-73.98410637,40.68807003,3097,-73.9424469,40.71921585,28.8666666666667
"281",216,-73.99548059,40.70037867,238,-74.00859207,40.7361967,NA
"282",414,-73.98765762,40.70281858,406,-73.99595065,40.69512845,NA
"283",3116,-73.95826,40.73266,3095,-73.94500379,40.71929301,9.75
"284",3077,-73.95095259,40.70877084,265,-73.99147535,40.72229346,20.0166666666667
"285",445,-73.98142006,40.72740794,398,-73.9999786,40.69165183,23.05
"286",459,-74.007756,40.746745,540,-73.9821535348892,40.7431155537649,15.7333333333333
"287",414,-73.98765762,40.70281858,243,-73.979382,40.688226,9.63333333333333
"288",409,-73.95643107,40.6906495,389,-73.96525063,40.71044554,12.9
"289",3158,-73.98261428,40.77163851,305,-73.96724467,40.76095756,9.81666666666667
"290",232,-73.99014892,40.69597683,384,-73.9659641,40.68317813,13.5666666666667
"291",530,-73.990541,40.771522,3172,-73.97754961,40.7785669,8.15
"292",3171,-73.97667321,40.78524672,3244,-73.9949034154415,40.7314372408523,28.4166666666667
"293",357,-73.99158043,40.73261787,328,-74.00965965,40.72405549,12
"294",417,-74.01020234,40.71291224,462,-74.00451887,40.74691959,16.7166666666667
"295",412,-73.99422366,40.7158155,472,-73.98194829,40.7457121,19.0666666666667
"296",263,-73.996375,40.71729,362,-73.98753523,40.75172632,22.0333333333333
"297",3231,-73.9659208059311,40.7678008014813,330,-74.00562789,40.71450451,32.6666666666667
"298",168,-73.99456405,40.73971301,408,-73.99400398,40.71076228,16.6833333333333
"299",372,-73.958089,40.694528,289,-73.95881081,40.6845683,5.81666666666667
"300",274,-73.976682,40.68691865,462,-74.00451887,40.74691959,34.8333333333333
"301",3068,-73.940636,40.7031724,3072,-73.94644578,40.70583339,5.28333333333333
"302",3124,-73.95451,40.74731,261,-73.98362464,40.69474881,30.15
"303",271,-73.97805813,40.68528172,432,-73.98379855,40.72621788,25.5833333333333
"304",464,-73.96759673,40.75934501,434,-74.00366443,40.74317449,19.1333333333333
"305",437,-73.9500479759,40.6809833854,2002,-73.963198,40.716887,20.7333333333333
"306",340,-73.98776323,40.71269042,372,-73.958089,40.694528,22.2333333333333
"307",328,-74.00965965,40.72405549,414,-73.98765762,40.70281858,17.8
"308",401,-73.98997825,40.72019576,484,-73.98014437,40.75500254,21.1166666666667
"309",474,-73.98683077,40.7451677,356,-73.98261206,40.71622644,17.6666666666667
"310",247,-74.00483091,40.73535398,251,-73.99480012,40.72317958,8.03333333333333
"311",392,-73.987167,40.695065,343,-73.96986848,40.69794,8.71666666666667
"312",3161,-73.9772853255272,40.7801839724239,475,-73.98758561,40.73524276,22.9666666666667
"313",389,-73.96525063,40.71044554,520,-73.97648516,40.75992262,37.2333333333333
"314",249,-74.0090009,40.71870987,486,-73.98855723,40.7462009,17.5166666666667
"315",391,-73.99344559,40.69760127,3070,-73.94407279,40.70510918,23.3166666666667
"316",444,-73.98915076,40.7423543,3160,-73.97374737,40.77896784,18.8166666666667
"317",361,-73.99190759,40.71605866,332,-73.97948148,40.71219906,5.18333333333333
"318",264,-74.00731853,40.70706456,285,-73.99074142,40.73454567,21.1
"319",377,-74.00566443,40.72243797,471,-73.95698119,40.71286844,21.1833333333333
"320",307,-73.98990025,40.71427487,151,-73.997249007225,40.722103786686,7.9
"321",519,-73.977706,40.751873,474,-73.98683077,40.7451677,6.53333333333333
"322",474,-73.98683077,40.7451677,3087,-73.95234386,40.71413311,28.4166666666667
"323",315,-74.00670227,40.70355377,368,-74.00214988,40.73038599,15.8166666666667
"324",320,-74.005549,40.717571,3171,-73.97667321,40.78524672,34.35
"325",348,-74.00154702,40.72490985,3014,-73.959114,40.722852,21.5333333333333
"326",401,-73.98997825,40.72019576,493,-73.98291153,40.7568001,22.2166666666667
"327",244,-73.96536851,40.69196035,3222,-73.9771136641502,40.6851595998918,7.28333333333333
"328",3139,-73.9640942215919,40.7711828754066,448,-73.9979009,40.75660359,17.3333333333333
"329",496,-73.99238967,40.73726186,484,-73.98014437,40.75500254,17.7333333333333
"330",3165,-73.97603963,40.77575319,3141,-73.95818491,40.76500525,14.0166666666667
"331",335,-73.99404649,40.72903917,3221,-73.93561,40.743,36.15
"332",301,-73.98368779,40.72217444,217,-73.99383605,40.70277159,16.8166666666667
"333",447,-73.9851615,40.76370739,150,-73.98085795,40.7208736,25.05
"334",389,-73.96525063,40.71044554,415,-74.00926027,40.7047177,23.0333333333333
"335",3074,-73.94016171,40.70767788,254,-73.99800419,40.73532427,31.6666666666667
"336",443,-73.96408963,40.70853074,3084,-73.94792458,40.71348658,8.81666666666667
"337",467,-73.97895137,40.68312489,545,-73.97809472,40.736502,28.55
"338",476,-73.97966069,40.74394314,479,-73.9912551,40.76019252,13.0666666666667
"339",521,-73.99481051,40.75044999,466,-73.99144871,40.74395411,5.98333333333333
"340",307,-73.98990025,40.71427487,454,-73.96592976,40.75455731,20.7333333333333
"341",526,-73.98490707,40.74765947,454,-73.96592976,40.75455731,15.7333333333333
"342",518,-73.9734419,40.74780373,474,-73.98683077,40.7451677,8.05
