ID,Count,Latitude,Longitude,Year
416,808,40.68753406,-73.97265183,2013
417,5292,40.71291224,-74.01020234,2013
418,680,40.70224,-73.982578,2013
419,460,40.69580705,-73.97355569,2013
420,684,40.68764484,-73.96968902,2013
421,480,40.69573398,-73.97129668,2013
422,1780,40.770513,-73.988038,2013
423,1945,40.76584941,-73.98690506,2013
426,8568,40.71754834,-74.01322069,2013
427,2504,40.701907,-74.013942,2013
428,3415,40.72467721,-73.98783413,2013
430,1770,40.7014851,-73.98656928,2013
431,421,40.68864636,-73.98263429,2013
432,5365,40.72621788,-73.98379855,2013
433,3717,40.72955361,-73.98057249,2013
434,3200,40.74317449,-74.00366443,2013
435,8347,40.74173969,-73.99415556,2013
436,359,40.68216564,-73.95399026,2013
437,674,40.68098339,-73.95004798,2013
438,3255,40.72779126,-73.98564945,2013
439,3579,40.7262807,-73.98978041,2013
440,2505,40.75255434,-73.97282625,2013
441,2014,40.756014,-73.967416,2013
442,4596,40.746647,-73.993915,2013
443,327,40.70853074,-73.96408963,2013
444,5981,40.7423543,-73.98915076,2013
445,4645,40.72740794,-73.98142006,2013
446,5335,40.74487634,-73.99529885,2013
447,3659,40.76370739,-73.9851615,2013
448,3157,40.75660359,-73.9979009,2013
449,2192,40.76461837,-73.98789473,2013
450,3324,40.76227205,-73.98788205,2013
453,4294,40.74475148,-73.99915362,2013
454,1642,40.75455731,-73.96592976,2013
455,2535,40.75001986,-73.96905301,2013
456,1812,40.7597108,-73.97402311,2013
457,4217,40.76695317,-73.98169333,2013
458,5006,40.751396,-74.005226,2013
459,6360,40.746745,-74.007756,2013
460,1341,40.71285887,-73.96590294,2013
461,4095,40.73587678,-73.98205027,2013
462,5347,40.74691959,-74.00451887,2013
463,4726,40.74206539,-74.00443172,2013
465,3401,40.75513557,-73.98658032,2013
466,4130,40.74395411,-73.99144871,2013
467,1394,40.68312489,-73.97895137,2013
468,3563,40.7652654,-73.98192338,2013
469,2177,40.76344058,-73.98268129,2013
470,3592,40.74345335,-74.00004031,2013
471,1308,40.71286844,-73.95698119,2013
472,4608,40.7457121,-73.98194829,2013
473,2198,40.72110063,-73.9919254,2013
474,3902,40.7451677,-73.98683077,2013
475,3395,40.73524276,-73.98758561,2013
476,3281,40.74394314,-73.97966069,2013
477,6369,40.75640548,-73.9900262,2013
478,3228,40.76030096,-73.99884222,2013
479,4227,40.76019252,-73.9912551,2013
480,2434,40.76669671,-73.99061728,2013
481,1368,40.71260486,-73.96264403,2013
482,3888,40.73935542,-73.99931783,2013
483,4512,40.73223272,-73.98889957,2013
484,2893,40.75500254,-73.98014437,2013
485,3489,40.75038009,-73.98338988,2013
486,3933,40.7462009,-73.98855723,2013
487,3367,40.73314259,-73.97573881,2013
488,4260,40.75645824,-73.99372222,2013
489,3952,40.75066386,-74.00176802,2013
490,5512,40.751551,-73.993934,2013
491,3290,40.74096374,-73.98602213,2015
492,4154,40.75019995,-73.99093085,2013
493,2823,40.7568001,-73.98291153,2013
494,4552,40.74734825,-73.99723551,2013
495,2795,40.76269882,-73.99301222,2013
496,4477,40.73726186,-73.99238967,2013
497,8266,40.73704984,-73.99009296,2013
498,3627,40.74854862,-73.98808416,2013
499,5297,40.76915505,-73.98191841,2013
500,2756,40.76228826,-73.98336183,2013
501,3324,40.744219,-73.97121214,2013
502,1982,40.714215,-73.981346,2013
503,4076,40.73827428,-73.98751968,2013
504,4909,40.73221853,-73.98165557,2013
505,4559,40.74901271,-73.98848395,2013
507,4455,40.73912601,-73.97973776,2013
508,3133,40.76341379,-73.99667444,2013
509,4729,40.7454973,-74.00197139,2013
510,2961,40.7606597,-73.98042047,2013
511,5102,40.72938685,-73.97772429,2013
512,2832,40.7500727,-73.99839279,2013
513,2249,40.768254,-73.988639,2013
514,6015,40.76087502,-74.00277668,2013
515,3834,40.76009437,-73.99461843,2013
516,1153,40.75206862,-73.96784384,2013
517,4450,40.751581,-73.97791,2013
518,4601,40.74780373,-73.9734419,2013
519,11632,40.751873,-73.977706,2013
520,2850,40.75992262,-73.97648516,2013
521,12765,40.75096735,-73.99444208,2013
522,2219,40.75714758,-73.97207836,2013
523,4794,40.75466591,-73.99138152,2013
524,2607,40.75527307,-73.98316936,2013
525,2229,40.75594159,-74.0021163,2013
526,3586,40.74765947,-73.98490707,2013
527,4350,40.744023,-73.976056,2013
528,3119,40.74290902,-73.97706058,2013
529,6581,40.7575699,-73.99098507,2013
530,2924,40.771522,-73.990541,2013
531,3547,40.71893904,-73.99266288,2013
532,3096,40.710451,-73.960876,2013
533,2625,40.75299641,-73.98721619,2013
534,1413,40.70255065,-74.0127234,2013
536,3689,40.74144387,-73.97536082,2013
537,5739,40.74025878,-73.98409214,2013
539,1629,40.71534825,-73.96024116,2013
540,3225,40.74311555,-73.98215353,2013
545,4109,40.736502,-73.97809472,2013
546,3760,40.74444921,-73.98303529,2013
2000,1723,40.70255088,-73.98940236,2013
2001,116,40.699773,-73.979927,2013
2002,1786,40.716887,-73.963198,2013
2003,3187,40.73381219,-73.98054421,2013
2004,2414,40.724399,-74.004704,2013
2005,44,40.70531194,-73.97100056,2013
2006,6638,40.76590936,-73.97634151,2013
2008,3264,40.70569254,-74.01677685,2013
2009,1400,40.71117444,-73.99682619,2013
2010,2812,40.72165481,-74.00234737,2013
2012,2311,40.739445,-73.976806,2013
2017,1287,40.75022392,-73.97121414,2013
2021,3037,40.75929124,-73.98859651,2013
2022,1354,40.759107,-73.959223,2013
2023,1393,40.75968085,-73.97031366,2013
3002,6605,40.711512,-74.015756,2013
3017,6.5,40.751483,-73.996764,2015
3019,7.5,40.716633,-73.981933,2015
3041,226,40.67890679,-73.94142771,2015
3042,265,40.6794268,-73.9298911,2015
3043,200,40.6814598,-73.934903,2015
3044,132,40.6800105,-73.938475,2015
3046,153,40.682601,-73.938037,2015
3047,255,40.6823687,-73.944118,2015
3048,168,40.68402,-73.94977,2015
3049,255,40.68488,-73.96304,2015
3050,313,40.6851532,-73.94111,2015
3052,389,40.686312,-73.935775,2015
3053,134,40.6900815,-73.947915,2015
3054,285,40.6894932,-73.942061,2015
3055,175,40.6883337,-73.950916,2015
3056,194,40.69072549,-73.95133465,2015
3057,198,40.69128258,-73.9452416,2015
3058,288,40.69237074,-73.93705428,2015
3059,116,40.6933982,-73.939877,2015
3060,275,40.69425403,-73.94626915,2015
3061,134,40.69622937,-73.94371094,2015
3062,254,40.69539817,-73.94954908,2015
3063,131,40.69527008,-73.95238108,2015
3064,457,40.69681963,-73.93756926,2015
3065,176,40.70029511,-73.95032283,2015
3066,248,40.69957608,-73.94708417,2015
3067,228,40.7016657,-73.9437303,2015
3068,333,40.7031724,-73.940636,2015
3069,253,40.70411791,-73.94818595,2015
3070,173,40.70510918,-73.94407279,2015
3071,372,40.70538077,-73.94976519,2015
3072,281,40.70583339,-73.94644578,2015
3073,491,40.70691254,-73.95441667,2015
3074,730,40.70767788,-73.94016171,2015
3075,262,40.70708701,-73.95796783,2015
3076,330,40.70870368,-73.9448625,2015
3077,10,40.70877084,-73.95095259,2015
3078,364.5,40.70925562,-73.95982218,2015
3079,667,40.71103537,-73.94714303,2015
3080,21,40.70934,-73.95608,2015
3081,443,40.711863,-73.944024,2015
3082,49,40.71167351,-73.95141312,2015
3083,602,40.71247661,-73.94100005,2015
3084,314,40.71348658,-73.94792458,2015
3085,37,40.71469,-73.95739,2015
3086,1187,40.715143,-73.944507,2015
3087,1105,40.71413311,-73.95234386,2015
3088,459,40.7160751,-73.952029,2015
3089,107,40.7173184,-73.94820213,2015
3090,1905,40.71774592,-73.95600096,2015
3091,451,40.71764,-73.94882,2015
3092,1218,40.7190095,-73.95852515,2015
3093,2048,40.71745169,-73.95850939,2015
3094,442,40.7169811,-73.94485918,2015
3095,298,40.71929301,-73.94500379,2015
3096,373,40.71924,-73.95242,2015
3097,674,40.71921585,-73.9424469,2015
3098,489,40.71928,-73.94861,2015
3099,159,40.7215224,-73.94898266,2015
3101,1055,40.72079821,-73.95484712,2015
3102,921,40.72179134,-73.9504154,2015
3103,980,40.72153267,-73.95782357,2015
3104,2750,40.72057658,-73.96150225,2015
3105,277,40.724055,-73.955736,2015
3106,919,40.72325,-73.94308,2015
3107,1437,40.72311651,-73.95212324,2015
3108,1051,40.72557,-73.94434,2015
3109,676,40.72606,-73.95621,2015
3110,777,40.72708584,-73.95299117,2015
3111,758,40.7258483,-73.95064893,2015
3112,1017,40.72906,-73.95779,2015
3113,911,40.73026,-73.95394,2015
3114,330,40.73165141,-73.96161892,2015
3115,1015,40.73232194,-73.9550858,2015
3116,244.5,40.73266,-73.95826,2015
3117,647,40.73564,-73.95866,2015
3118,722,40.73555,-73.95284,2015
3119,1393,40.74232744,-73.95411749,2015
3120,539,40.74161,-73.96044,2015
3121,474,40.74524768,-73.94733276,2015
3122,129,40.74436329,-73.95587325,2015
3123,222,40.74469738,-73.93540375,2015
3124,1217,40.74731,-73.95451,2015
3125,529,40.74708586,-73.94977234,2015
3126,820,40.74718234,-73.9432635,2015
3127,298,40.74966,-73.9521,2015
3128,149,40.75052534,-73.94594845,2015
3129,1305,40.75110165,-73.94073717,2015
3130,176,40.75325964,-73.94335788,2015
3132,1362,40.76350532,-73.97109243,2015
3133,2618,40.76734259,-73.96485865,2015
3134,1560,40.76312584,-73.96526895,2015
3135,1193,40.77112927,-73.95772297,2015
3136,1058,40.76650452,-73.97147595,2015
3137,1039.5,40.77282817,-73.96685276,2015
3138,254.5,40.77440546,-73.96175265,2015
3139,1552,40.77122923,-73.96432627,2015
3140,1601,40.77140426,-73.9535166,2015
3141,3287,40.76500525,-73.95818491,2015
3142,2081,40.7612274,-73.96094022,2015
3143,1130,40.77682863,-73.96388769,2015
3144,735,40.77677702,-73.9590097,2015
3145,1211,40.77862688,-73.95772073,2015
3146,562,40.77573034,-73.9567526,2015
3147,1082,40.77801203,-73.95407149,2015
3148,555,40.77565541,-73.95068615,2015
3149,895,40.77517793,-73.95324922,2015
3150,830,40.77536905,-73.94803392,2015
3151,637.5,40.7728384,-73.94989233,2015
3153,546.5,40.76817547,-73.95910263,2015
3154,697,40.77314236,-73.95856158,2015
3155,959,40.76440023,-73.96648977,2015
3156,1704,40.76663814,-73.95348296,2015
3157,286,40.77518615,-73.94446054,2015
3158,2409,40.77163851,-73.98261428,2015
3159,1830,40.77492513,-73.98266566,2015
3160,1583,40.77896784,-73.97374737,2015
3161,611,40.78018397,-73.97728533,2015
3162,664.5,40.78339981,-73.98093133,2015
3163,2185,40.7734066,-73.97782542,2015
3164,1509,40.7770575,-73.97898475,2015
3165,4391,40.77575319,-73.97603963,2015
3166,295,40.78057799,-73.98562431,2015
3167,1581.5,40.77966809,-73.98093045,2015
3168,1359.5,40.78472675,-73.96961715,2015
3169,1130,40.78720869,-73.98128127,2015
3170,2066,40.78499979,-73.97283406,2015
3171,758.5,40.78524672,-73.97667321,2015
3172,1502,40.7785669,-73.97754961,2015
3173,700.5,40.77750703,-73.98888588,2015
3175,1897,40.77748046,-73.98288594,2015
3176,1602,40.77452835,-73.98753759,2015
3177,1329,40.7867947,-73.977112,2015
3178,1411,40.78414472,-73.98362492,2015
3179,120,40.698617,-73.941342,2015
